id path action_label start_act end_act start_frame end_frame
97 subject1/k1/3 20 383 474 0 775
98 subject1/k1/3 11 480 522 0 775
99 subject1/k1/3 31 523 719 0 775
100 subject1/k1/3 3 733 775 0 775
101 subject1/k1/4 15 0 56 0 555
102 subject1/k1/4 7 67 108 0 555
103 subject1/k1/4 19 109 186 0 555
104 subject1/k1/4 26 215 338 0 555
105 subject1/k1/4 22 410 545 0 555
106 subject1/k1/5 12 0 48 0 494
107 subject1/k1/5 4 49 86 0 494
108 subject1/k1/5 35 87 145 0 494
109 subject1/k1/5 12 146 183 0 494
110 subject1/k1/5 32 184 420 0 494
111 subject1/k1/5 4 441 494 0 494
112 subject1/k1/6 14 0 64 0 471
113 subject1/k1/6 6 69 109 0 471
114 subject1/k1/6 25 115 239 0 471
115 subject1/k1/6 29 329 458 0 471
116 subject1/k1/7 10 0 45 0 662
117 subject1/k1/7 2 70 130 0 662
118 subject1/k1/7 34 173 390 0 662
119 subject1/k1/7 24 410 494 0 662
120 subject1/k1/7 28 549 635 0 662
121 subject1/k2/0 16 18 92 0 433
122 subject1/k2/0 8 100 163 0 433
123 subject1/k2/0 27 182 282 0 433
124 subject1/k2/0 30 343 411 0 433
125 subject1/k2/1 13 0 46 0 680
126 subject1/k2/1 5 54 109 0 680
127 subject1/k2/1 18 110 225 0 680
128 subject1/k2/1 23 282 434 0 680
129 subject1/k2/1 21 478 643 0 680
130 subject1/k2/2 9 6 90 0 409
131 subject1/k2/2 1 91 176 0 409
132 subject1/k2/2 33 196 396 0 409
133 subject1/k2/3 15 0 56 0 507
134 subject1/k2/3 7 65 113 0 507
135 subject1/k2/3 19 114 209 0 507
136 subject1/k2/3 26 224 354 0 507
137 subject1/k2/3 22 395 507 0 507
138 subject1/k2/4 12 0 52 0 452
139 subject1/k2/4 4 53 105 0 452
140 subject1/k2/4 35 106 180 0 452
141 subject1/k2/4 12 181 235 0 452
142 subject1/k2/4 32 236 399 0 452
143 subject1/k2/4 4 405 452 0 452
144 subject1/k2/5 14 0 76 0 593
145 subject1/k2/5 6 83 140 0 593
146 subject1/k2/5 25 146 339 0 593
147 subject1/k2/5 29 409 586 0 593
148 subject1/k2/6 10 0 42 0 677
149 subject1/k2/6 2 47 113 0 677
150 subject1/k2/6 34 162 375 0 677
151 subject1/k2/6 24 404 522 0 677
152 subject1/k2/6 28 575 651 0 677
153 subject1/o1/0 16 0 34 0 431
154 subject1/o1/0 8 74 128 0 431
155 subject1/o1/0 27 149 240 0 431
156 subject1/o1/0 30 318 413 0 431
157 subject1/o1/1 13 0 56 0 744
158 subject1/o1/1 5 86 148 0 744
159 subject1/o1/1 18 163 300 0 744
160 subject1/o1/1 23 367 537 0 744
161 subject1/o1/1 21 582 744 0 744
162 subject1/o1/2 9 2 72 0 508
163 subject1/o1/2 1 80 177 0 508
164 subject1/o1/2 33 239 464 0 508
165 subject1/o1/3 11 0 44 0 663
166 subject1/o1/3 3 58 103 0 663
167 subject1/o1/3 17 111 189 0 663
168 subject1/o1/3 36 231 334 0 663
169 subject1/o1/3 11 335 376 0 663
170 subject1/o1/3 20 377 443 0 663
171 subject1/o1/3 31 444 606 0 663
172 subject1/o1/3 3 623 663 0 663
173 subject1/o1/4 15 0 50 0 542
174 subject1/o1/4 7 55 96 0 542
175 subject1/o1/4 19 108 199 0 542
176 subject1/o1/4 26 245 327 0 542
177 subject1/o1/4 22 395 542 0 542
178 subject1/o1/5 12 0 37 0 544
179 subject1/o1/5 4 67 110 0 544
180 subject1/o1/5 35 117 214 0 544
181 subject1/o1/5 12 215 284 0 544
182 subject1/o1/5 32 287 477 0 544
183 subject1/o1/5 4 483 544 0 544
184 subject1/o1/6 14 0 60 0 448
185 subject1/o1/6 6 92 133 0 448
186 subject1/o1/6 25 144 267 0 448
187 subject1/o1/6 29 330 428 0 448
188 subject1/o1/7 10 0 43 0 767
189 subject1/o1/7 2 69 120 0 767
190 subject1/o1/7 34 177 410 0 767
191 subject1/o1/7 24 466 595 0 767
192 subject1/o1/7 28 658 742 0 767
193 subject1/o2/0 16 0 77 0 446
194 subject1/o2/0 8 100 149 0 446
195 subject1/o2/0 27 155 250 0 446
196 subject1/o2/0 30 336 446 0 446
197 subject1/o2/1 13 0 61 0 668
198 subject1/o2/1 5 91 142 0 668
199 subject1/o2/1 18 151 270 0 668
200 subject1/o2/1 23 321 472 0 668
201 subject1/o2/1 21 527 668 0 668
202 subject1/o2/2 9 78 156 0 1005
203 subject1/o2/2 1 179 267 0 1005
204 subject1/o2/2 33 310 992 0 1005
205 subject1/o2/3 11 0 56 0 754
206 subject1/o2/3 3 74 127 0 754
207 subject1/o2/3 17 188 278 0 754
208 subject1/o2/3 36 302 396 0 754
209 subject1/o2/3 11 420 469 0 754
210 subject1/o2/3 31 472 636 0 754
211 subject1/o2/3 3 637 681 0 754
212 subject1/o2/3 20 682 752 0 754
213 subject1/o2/4 15 5 67 0 586
214 subject1/o2/4 7 89 125 0 586
215 subject1/o2/4 19 126 216 0 586
216 subject1/o2/4 26 247 316 0 586
217 subject1/o2/4 22 442 580 0 586
218 subject1/o2/5 12 31 83 0 485
219 subject1/o2/5 4 99 159 0 485
220 subject1/o2/5 35 169 261 0 485
221 subject1/o2/5 12 281 327 0 485
222 subject1/o2/5 32 328 453 0 485
223 subject1/o2/5 4 454 485 0 485
224 subject1/o2/6 14 0 63 0 625
225 subject1/o2/6 6 67 136 0 625
226 subject1/o2/6 25 142 360 0 625
227 subject1/o2/6 29 445 605 0 625
228 subject1/o2/7 10 0 35 0 364
229 subject1/o2/7 2 36 85 0 364
230 subject1/o2/7 34 129 347 0 364
231 subject2/h1/0 16 12 107 0 526
232 subject2/h1/0 8 122 169 0 526
233 subject2/h1/0 27 170 277 0 526
234 subject2/h1/0 30 342 472 0 526
235 subject2/h1/1 13 0 95 0 686
236 subject2/h1/1 5 113 164 0 686
237 subject2/h1/1 18 165 268 0 686
238 subject2/h1/1 23 298 444 0 686
239 subject2/h1/1 21 488 663 0 686
240 subject2/h1/2 9 20 116 0 649
241 subject2/h1/2 1 137 213 0 649
242 subject2/h1/2 33 248 649 0 649
243 subject2/h1/3 11 24 93 0 1016
244 subject2/h1/3 3 118 167 0 1016
245 subject2/h1/3 17 168 255 0 1016
246 subject2/h1/3 36 256 376 0 1016
247 subject2/h1/3 11 384 429 0 1016
248 subject2/h1/3 20 430 498 0 1016
249 subject2/h1/3 31 509 922 0 1016
250 subject2/h1/3 3 928 1003 0 1016
251 subject2/h1/4 15 0 74 0 566
252 subject2/h1/4 19 137 233 0 566
253 subject2/h1/4 26 243 360 0 566
254 subject2/h1/4 22 461 556 0 566
255 subject2/h1/5 12 0 46 0 679
256 subject2/h1/5 4 79 145 0 679
257 subject2/h1/5 35 161 277 0 679
258 subject2/h1/5 12 316 372 0 679
259 subject2/h1/5 32 378 614 0 679
260 subject2/h1/5 4 626 676 0 679
261 subject2/h1/6 14 43 116 0 575
262 subject2/h1/6 6 130 166 0 575
263 subject2/h1/6 25 172 357 0 575
264 subject2/h1/6 29 393 555 0 575
265 subject2/h1/7 10 23 97 0 822
266 subject2/h1/7 2 122 170 0 822
267 subject2/h1/7 34 190 404 0 822
268 subject2/h1/7 24 448 614 0 822
269 subject2/h1/7 28 680 787 0 822
270 subject2/h2/0 16 0 117 0 513
271 subject2/h2/0 27 174 339 0 513
272 subject2/h2/0 30 363 479 0 513
273 subject2/h2/1 13 0 72 0 529
274 subject2/h2/1 5 73 102 0 529
275 subject2/h2/1 18 103 217 0 529
276 subject2/h2/1 23 218 347 0 529
277 subject2/h2/1 21 382 529 0 529
278 subject2/h2/2 9 7 122 0 610
279 subject2/h2/2 1 148 215 0 610
280 subject2/h2/2 33 278 610 0 610
281 subject2/h2/3 11 0 88 0 810
282 subject2/h2/3 3 119 148 0 810
283 subject2/h2/3 17 149 208 0 810
284 subject2/h2/3 36 209 328 0 810
285 subject2/h2/3 11 329 366 0 810
286 subject2/h2/3 20 367 431 0 810
287 subject2/h2/3 31 432 726 0 810
288 subject2/h2/3 3 735 793 0 810
289 subject2/h2/4 12 9 101 0 854
290 subject2/h2/4 4 123 181 0 854
291 subject2/h2/4 35 189 348 0 854
292 subject2/h2/4 12 357 436 0 854
293 subject2/h2/4 32 448 782 0 854
294 subject2/h2/4 4 791 850 0 854
295 subject2/h2/5 14 0 68 0 446
296 subject2/h2/5 6 100 129 0 446
297 subject2/h2/5 25 130 292 0 446
298 subject2/h2/5 29 320 443 0 446
299 subject2/h2/6 10 0 106 0 762
300 subject2/h2/6 2 133 180 0 762
301 subject2/h2/6 34 190 432 0 762
302 subject2/h2/6 24 441 569 0 762
303 subject2/h2/6 28 618 737 0 762
304 subject2/k1/0 16 13 80 0 489
305 subject2/k1/0 8 117 164 0 489
306 subject2/k1/0 27 165 271 0 489
307 subject2/k1/0 16 272 321 0 489
308 subject2/k1/0 8 338 375 0 489
309 subject2/k1/0 30 376 489 0 489
310 subject2/k1/1 13 0 61 0 656
311 subject2/k1/1 5 82 136 0 656
312 subject2/k1/1 18 137 244 0 656
313 subject2/k1/1 23 287 432 0 656
314 subject2/k1/1 21 465 641 0 656
315 subject2/k1/2 9 21 112 0 369
316 subject2/k1/2 1 141 220 0 369
317 subject2/k1/2 33 241 366 0 369
318 subject2/k1/3 15 5 72 0 473
319 subject2/k1/3 7 109 147 0 473
320 subject2/k1/3 19 148 212 0 473
321 subject2/k1/3 26 232 302 0 473
322 subject2/k1/3 22 373 468 0 473
323 subject2/k1/4 14 0 66 0 380
324 subject2/k1/4 6 106 146 0 380
325 subject2/k1/4 25 147 188 0 380
326 subject2/k1/4 29 295 355 0 380
327 subject2/k1/5 14 5 58 0 383
328 subject2/k1/5 6 90 120 0 383
329 subject2/k1/5 25 121 244 0 383
330 subject2/k1/5 29 288 377 0 383
331 subject2/k1/6 10 45 121 0 833
332 subject2/k1/6 2 139 213 0 833
333 subject2/k1/6 34 237 402 0 833
334 subject2/k1/6 24 452 627 0 833
335 subject2/k1/6 10 628 706 0 833
336 subject2/k1/6 2 707 744 0 833
337 subject2/k1/6 28 745 831 0 833
338 subject2/k2/0 16 9 81 0 634
339 subject2/k2/0 8 112 155 0 634
340 subject2/k2/0 27 156 476 0 634
341 subject2/k2/0 30 528 627 0 634
342 subject2/k2/1 13 0 89 0 736
343 subject2/k2/1 5 100 146 0 736
344 subject2/k2/1 18 147 291 0 736
345 subject2/k2/1 23 312 501 0 736
346 subject2/k2/1 13 532 579 0 736
347 subject2/k2/1 21 580 730 0 736
348 subject2/k2/2 9 26 136 0 621
349 subject2/k2/2 1 179 276 0 621
350 subject2/k2/2 33 361 621 0 621
351 subject2/k2/3 11 6 62 0 740
352 subject2/k2/3 3 70 119 0 740
353 subject2/k2/3 17 120 169 0 740
354 subject2/k2/3 36 173 261 0 740
355 subject2/k2/3 11 262 307 0 740
356 subject2/k2/3 20 308 362 0 740
357 subject2/k2/3 31 363 684 0 740
358 subject2/k2/3 3 685 740 0 740
359 subject2/k2/4 15 0 63 0 407
360 subject2/k2/4 7 89 118 0 407
361 subject2/k2/4 19 119 183 0 407
362 subject2/k2/4 26 190 256 0 407
363 subject2/k2/4 22 306 395 0 407
364 subject2/k2/5 14 14 85 0 448
365 subject2/k2/5 6 124 168 0 448
366 subject2/k2/5 25 169 280 0 448
367 subject2/k2/5 29 333 442 0 448
368 subject2/k2/6 10 16 92 0 850
369 subject2/k2/6 2 115 183 0 850
370 subject2/k2/6 34 193 388 0 850
371 subject2/k2/6 24 439 685 0 850
372 subject2/k2/6 28 758 837 0 850
373 subject2/o1/0 16 8 81 0 526
374 subject2/o1/0 8 100 146 0 526
375 subject2/o1/0 27 147 215 0 526
376 subject2/o1/0 16 216 270 0 526
377 subject2/o1/0 8 314 357 0 526
378 subject2/o1/0 30 358 495 0 526
379 subject2/o1/1 13 38 105 0 984
380 subject2/o1/1 5 126 164 0 984
381 subject2/o1/1 18 165 324 0 984
382 subject2/o1/1 23 401 660 0 984
383 subject2/o1/1 13 661 701 0 984
384 subject2/o1/1 21 729 930 0 984
385 subject2/o1/1 5 936 984 0 984
386 subject2/o1/2 11 88 154 0 1237
387 subject2/o1/2 3 179 240 0 1237
388 subject2/o1/2 17 251 373 0 1237
389 subject2/o1/2 36 420 557 0 1237
390 subject2/o1/2 11 558 603 0 1237
391 subject2/o1/2 20 604 694 0 1237
392 subject2/o1/2 31 695 1185 0 1237
393 subject2/o1/2 3 1189 1237 0 1237
394 subject2/o1/3 15 27 83 0 663
395 subject2/o1/3 7 111 144 0 663
396 subject2/o1/3 19 145 246 0 663
397 subject2/o1/3 26 286 354 0 663
398 subject2/o1/3 15 482 538 0 663
399 subject2/o1/3 22 539 625 0 663
400 subject2/o1/3 7 626 663 0 663
401 subject2/o1/4 12 48 112 0 840
402 subject2/o1/4 4 140 189 0 840
403 subject2/o1/4 35 245 338 0 840
404 subject2/o1/4 12 395 453 0 840
405 subject2/o1/4 32 457 689 0 840
406 subject2/o1/4 4 690 783 0 840
407 subject2/o1/5 14 0 62 0 520
408 subject2/o1/5 25 71 277 0 520
409 subject2/o1/5 29 331 506 0 520
410 subject2/o1/6 10 38 103 0 635
411 subject2/o1/6 2 133 164 0 635
412 subject2/o1/6 24 165 304 0 635
413 subject2/o1/6 10 305 366 0 635
414 subject2/o1/6 2 388 421 0 635
415 subject2/o1/6 28 422 520 0 635
416 subject2/o1/6 34 557 633 0 635
417 subject2/o2/0 16 18 72 0 423
418 subject2/o2/0 8 101 135 0 423
419 subject2/o2/0 27 136 181 0 423
420 subject2/o2/0 16 182 228 0 423
421 subject2/o2/0 8 265 298 0 423
422 subject2/o2/0 30 299 402 0 423
423 subject2/o2/1 13 0 47 0 621
424 subject2/o2/1 18 85 237 0 621
425 subject2/o2/1 23 295 417 0 621
426 subject2/o2/1 13 418 461 0 621
427 subject2/o2/1 21 462 590 0 621
428 subject2/o2/1 5 591 621 0 621
429 subject2/o2/2 9 4 64 0 390
430 subject2/o2/2 1 85 154 0 390
431 subject2/o2/2 33 225 379 0 390
432 subject2/o2/3 15 16 80 0 425
433 subject2/o2/3 7 101 131 0 425
434 subject2/o2/3 19 132 190 0 425
435 subject2/o2/3 26 191 246 0 425
436 subject2/o2/3 15 295 321 0 425
437 subject2/o2/3 22 322 403 0 425
438 subject2/o2/3 7 404 425 0 425
439 subject2/o2/4 12 23 86 0 530
440 subject2/o2/4 4 114 160 0 530
441 subject2/o2/4 35 161 253 0 530
442 subject2/o2/4 12 254 316 0 530
443 subject2/o2/4 32 317 463 0 530
444 subject2/o2/4 4 464 518 0 530
445 subject2/o2/5 14 9 55 0 527
446 subject2/o2/5 25 92 279 0 527
447 subject2/o2/5 14 280 335 0 527
448 subject2/o2/5 6 370 415 0 527
449 subject2/o2/5 29 416 522 0 527
450 subject2/o2/6 10 8 102 0 414
451 subject2/o2/6 2 115 187 0 414
452 subject2/o2/6 34 209 363 0 414
453 subject3/h1/0 16 0 67 0 407
454 subject3/h1/0 8 106 159 0 407
455 subject3/h1/0 27 160 230 0 407
456 subject3/h1/0 30 326 392 0 407
457 subject3/h1/1 13 0 104 0 580
458 subject3/h1/1 5 111 162 0 580
459 subject3/h1/1 18 190 338 0 580
460 subject3/h1/1 23 339 430 0 580
461 subject3/h1/1 21 431 580 0 580
462 subject3/h1/2 9 17 88 0 411
463 subject3/h1/2 1 102 178 0 411
464 subject3/h1/2 33 202 371 0 411
465 subject3/h1/3 11 0 89 0 697
466 subject3/h1/3 3 136 170 0 697
467 subject3/h1/3 17 171 223 0 697
468 subject3/h1/3 36 224 297 0 697
469 subject3/h1/3 11 298 339 0 697
470 subject3/h1/3 31 340 580 0 697
471 subject3/h1/3 3 581 620 0 697
472 subject3/h1/3 20 621 693 0 697
473 subject3/h1/4 15 0 58 0 438
474 subject3/h1/4 7 119 148 0 438
475 subject3/h1/4 19 149 201 0 438
476 subject3/h1/4 26 202 252 0 438
477 subject3/h1/4 22 357 429 0 438
478 subject3/h1/5 35 37 118 0 582
479 subject3/h1/5 12 125 174 0 582
480 subject3/h1/5 32 175 494 0 582
481 subject3/h1/5 4 499 576 0 582
482 subject3/h1/6 14 0 71 0 536
483 subject3/h1/6 6 161 209 0 536
484 subject3/h1/6 25 210 345 0 536
485 subject3/h1/6 29 420 533 0 536
486 subject3/h1/7 10 0 73 0 661
487 subject3/h1/7 2 90 140 0 661
488 subject3/h1/7 34 153 304 0 661
489 subject3/h1/7 24 320 388 0 661
490 subject3/h1/7 28 541 661 0 661
491 subject3/h2/0 16 0 64 0 621
492 subject3/h2/0 8 114 207 0 621
493 subject3/h2/0 27 208 293 0 621
494 subject3/h2/0 30 488 577 0 621
495 subject3/h2/1 13 105 167 0 719
496 subject3/h2/1 5 193 248 0 719
497 subject3/h2/1 18 249 368 0 719
498 subject3/h2/1 23 369 486 0 719
499 subject3/h2/1 21 487 713 0 719
500 subject3/h2/2 9 12 83 0 508
501 subject3/h2/2 1 107 219 0 508
502 subject3/h2/2 33 263 477 0 508
503 subject3/h2/3 11 0 63 0 792
504 subject3/h2/3 3 94 150 0 792
505 subject3/h2/3 17 156 220 0 792
506 subject3/h2/3 36 221 331 0 792
507 subject3/h2/3 11 332 376 0 792
508 subject3/h2/3 31 377 626 0 792
509 subject3/h2/3 3 627 691 0 792
510 subject3/h2/3 20 696 781 0 792
511 subject3/h2/4 19 0 48 0 476
512 subject3/h2/4 15 67 125 0 476
513 subject3/h2/4 7 147 212 0 476
514 subject3/h2/4 26 213 300 0 476
515 subject3/h2/4 22 398 471 0 476
516 subject3/h2/5 12 20 82 0 563
517 subject3/h2/5 4 143 215 0 563
518 subject3/h2/5 35 272 398 0 563
519 subject3/h2/5 12 399 449 0 563
520 subject3/h2/5 32 450 563 0 563
521 subject3/h2/6 14 51 144 0 583
522 subject3/h2/6 6 185 228 0 583
523 subject3/h2/6 25 229 369 0 583
524 subject3/h2/6 29 473 583 0 583
525 subject3/h2/7 10 47 113 0 690
526 subject3/h2/7 2 151 207 0 690
527 subject3/h2/7 24 208 283 0 690
528 subject3/h2/7 28 353 470 0 690
529 subject3/h2/7 34 501 671 0 690
530 subject3/k1/0 16 18 90 0 387
531 subject3/k1/0 8 146 187 0 387
532 subject3/k1/0 27 188 267 0 387
533 subject3/k1/0 30 317 387 0 387
534 subject3/k1/1 13 13 91 0 582
535 subject3/k1/1 5 140 209 0 582
536 subject3/k1/1 18 230 365 0 582
537 subject3/k1/1 23 366 477 0 582
538 subject3/k1/1 21 478 582 0 582
539 subject3/k1/2 9 7 103 0 761
540 subject3/k1/2 1 160 334 0 761
541 subject3/k1/2 33 438 744 0 761
542 subject3/k1/3 11 21 103 0 981
543 subject3/k1/3 3 139 197 0 981
544 subject3/k1/3 17 198 259 0 981
545 subject3/k1/3 36 260 391 0 981
546 subject3/k1/3 11 392 451 0 981
547 subject3/k1/3 31 452 819 0 981
548 subject3/k1/3 3 820 882 0 981
549 subject3/k1/3 20 888 981 0 981
550 subject3/k1/4 15 31 88 0 548
551 subject3/k1/4 7 107 157 0 548
552 subject3/k1/4 19 158 214 0 548
553 subject3/k1/4 26 260 318 0 548
554 subject3/k1/4 22 390 548 0 548
555 subject3/k1/5 12 35 113 0 792
556 subject3/k1/5 4 172 238 0 792
557 subject3/k1/5 35 276 353 0 792
558 subject3/k1/5 12 354 394 0 792
559 subject3/k1/5 32 395 732 0 792
560 subject3/k1/5 4 733 792 0 792
561 subject3/k1/6 14 3 69 0 393
562 subject3/k1/6 6 111 143 0 393
563 subject3/k1/6 25 144 221 0 393
564 subject3/k1/6 29 294 369 0 393
565 subject3/k1/7 10 6 56 0 503
566 subject3/k1/7 2 74 121 0 503
567 subject3/k1/7 34 122 280 0 503
568 subject3/k1/7 24 309 376 0 503
569 subject3/k1/7 28 425 489 0 503
